universe,sample,label,horizon,above_n_events,above_n_effective,below_n_events,below_n_effective,above_mean_return,below_mean_return,diff_below_minus_above,t_stat,p_value,p_fdr
pool,Full,bbwp_down98_below_minus_above,3,634,376,588,295,0.006726573616064612,0.0014947959401722375,-0.005231777675892375,-1.1399836809469568,0.2547476173570793,0.5353858838859076
pool,Full,bbwp_down98_below_minus_above,7,634,376,588,295,0.00978670966467685,0.0058470562631382315,-0.003939653401538618,-0.6201328268269766,0.5353858838859076,0.5353858838859076
pool,Full,bbwp_down98_below_minus_above,10,634,376,586,293,0.007602076042993033,0.013125067533325376,0.005522991490332343,0.7312133896888285,0.4649239315852542,0.5353858838859076
pool,IS,bbwp_down98_below_minus_above,3,311,173,315,157,0.004177126584140069,-0.004688244776333064,-0.008865371360473134,-1.6150497460888753,0.10736783062983116,0.3221034918894935
pool,IS,bbwp_down98_below_minus_above,7,311,173,315,157,0.006134569509204175,-0.003308103089315911,-0.009442672598520087,-1.2321354581627195,0.2187877536585507,0.328181630487826
pool,IS,bbwp_down98_below_minus_above,10,311,173,315,157,0.0015888166154666664,0.004219786585377332,0.002630969969910666,0.2879388236431139,0.7735828753905899,0.7735828753905899
pool,OOS,bbwp_down98_below_minus_above,3,323,203,273,138,0.008899255076768779,0.00852912487126885,-0.00037013020549992934,-0.05060279757629063,0.9596773650229674,0.9596773650229674
pool,OOS,bbwp_down98_below_minus_above,7,323,203,273,138,0.012899124674020558,0.01626270856991577,0.0033635838958952138,0.3348907296614321,0.7379285307743074,0.9596773650229674
pool,OOS,bbwp_down98_below_minus_above,10,323,203,271,136,0.012726676441820923,0.02340542862764775,0.010678752185826826,0.8890071768836821,0.3747335519841678,0.9596773650229674
extended,Full,bbwp_down98_below_minus_above,3,2218,719,2194,608,0.0033459398295846727,-2.8619910232926963e-05,-0.0033745597398175996,-1.6831422232951119,0.09260564132205111,0.2778169239661533
extended,Full,bbwp_down98_below_minus_above,7,2214,716,2191,605,0.006788643636596492,0.002824522744741971,-0.003964120891854521,-1.3200181918607454,0.1870683545073527,0.28060253176102906
extended,Full,bbwp_down98_below_minus_above,10,2214,716,2190,604,0.005867039495121907,0.006784391714561739,0.0009173522194398315,0.2584057580967194,0.7961379364694101,0.79613793646941
extended,IS,bbwp_down98_below_minus_above,3,1031,321,1193,300,0.002488693387376137,-0.0012886415412247645,-0.0037773349286009013,-1.370603994114178,0.17099588065435312,0.3579908082221201
extended,IS,bbwp_down98_below_minus_above,7,1031,321,1193,300,0.007481901285217262,0.002172266727492203,-0.005309634557725059,-1.1794819966788996,0.23866053881474672,0.3579908082221201
extended,IS,bbwp_down98_below_minus_above,10,1031,321,1193,300,0.003971985137774587,0.004409611996531191,0.000437626858756604,0.08487270271899602,0.9323900940320551,0.9323900940320552
extended,OOS,bbwp_down98_below_minus_above,3,1187,398,1001,308,0.004037337085737789,0.0011986738861876926,-0.002838663199550096,-0.9627902900525152,0.3360902815318959,0.7295591526456824
extended,OOS,bbwp_down98_below_minus_above,7,1183,395,998,305,0.0062252621044261965,0.0034660860403974802,-0.0027591760640287163,-0.674254205097226,0.5004188575603487,0.7295591526456824
extended,OOS,bbwp_down98_below_minus_above,10,1183,395,997,304,0.007407071010839602,0.009127924331039252,0.0017208533201996503,0.3458903036405007,0.7295591526456824,0.7295591526456824
