universe,sample,label,horizon,n_events,n_effective,mean_score,median_score,positive_rate,t_stat,p_value,p_fdr
pool,Full,bbwp_down98_reversal_score,3,1222,595,-0.0040684108398686735,-0.0028379595872591867,0.46218487394957986,-1.9131932374405487,0.056203769860877335,0.168611309582632
pool,Full,bbwp_down98_reversal_score,7,1222,595,-0.003328546258356573,-0.0016765675553262749,0.48067226890756304,-1.064013660599265,0.2877548516214929,0.4316322774322393
pool,Full,bbwp_down98_reversal_score,10,1220,594,0.0008413649940474174,0.00231968657766507,0.5218855218855218,0.2238745464052666,0.8229320284829419,0.8229320284829419
pool,IS,bbwp_down98_reversal_score,3,626,304,-0.004703069054953754,-0.004862992125507504,0.42105263157894735,-1.6594178993551332,0.09806623204459577,0.29419869613378735
pool,IS,bbwp_down98_reversal_score,7,626,304,-0.004640876399952207,-0.0038491320397775197,0.4605263157894737,-1.1693222025935293,0.24319287995212857,0.36478931992819286
pool,IS,bbwp_down98_reversal_score,10,626,304,0.0015887075674372786,0.0021655462303094564,0.5230263157894737,0.3381408873039398,0.7354911876042702,0.7354911876042701
pool,OOS,bbwp_down98_reversal_score,3,596,291,-0.003405400195930995,0.0004518461141234109,0.5051546391752577,-1.067950406653637,0.2864310651465489,0.8592931954396468
pool,OOS,bbwp_down98_reversal_score,7,596,291,-0.0019575896843185216,9.606723979649345e-07,0.5017182130584192,-0.4014411722747533,0.6883909967620679,0.9922028642860731
pool,OOS,bbwp_down98_reversal_score,10,594,290,5.79438136663223e-05,0.002414432599262134,0.5206896551724138,0.00978087405988468,0.992202864286073,0.9922028642860731
extended,Full,bbwp_down98_reversal_score,3,4412,957,-0.0022637528014536855,-0.0016840763648555506,0.46499477533960293,-2.3619072134947987,0.01838081949906826,0.055142458497204776
extended,Full,bbwp_down98_reversal_score,7,4405,953,-0.0015439813050488259,0.00013263976552757573,0.5015739769150053,-1.0149235613382814,0.3104001327133403,0.4656001990700105
extended,Full,bbwp_down98_reversal_score,10,4404,952,0.0006989663837845726,0.002578684547855313,0.5283613445378151,0.40458361062358206,0.6858745853362641,0.6858745853362641
extended,IS,bbwp_down98_reversal_score,3,2224,463,-0.00296775609844099,-0.0025581809742744265,0.4470842332613391,-2.03631416566054,0.04228860297989162,0.12686580893967486
extended,IS,bbwp_down98_reversal_score,7,2224,463,-0.0031489702033454655,0.0004986978445170598,0.5075593952483801,-1.324965765174884,0.18583743747483045,0.2787561562122457
extended,IS,bbwp_down98_reversal_score,10,2224,463,-0.00022724290829684708,0.002200976636053431,0.5269978401727862,-0.08822035141992653,0.9297397688586829,0.9297397688586829
extended,OOS,bbwp_down98_reversal_score,3,2188,494,-0.0016039278490141676,-0.0006716466225527612,0.4817813765182186,-1.2746242751630121,0.20304269253140136,0.6091280775942041
extended,OOS,bbwp_down98_reversal_score,7,2181,490,-2.7430570535878348e-05,-0.000675228812863457,0.4959183673469388,-0.014240075187044262,0.9886442557076482,0.9886442557076482
extended,OOS,bbwp_down98_reversal_score,10,2180,489,0.0015759293740375312,0.003000760195588481,0.5296523517382413,0.679884826849948,0.4968997749465361,0.7453496624198042
