universe,cohort,raw_events,symbols
pool,bbwp_down98_after_downtrend,493,141
pool,bbwp_down98_after_uptrend,512,145
pool,bbwp_highturn_after_downtrend,1254,141
pool,bbwp_highturn_after_uptrend,1313,145
pool,pmarp_up2_accept_down98_recent3,69,54
pool,pmarp_up2_accept_down98_same_day,45,43
pool,pmarp_up2_accept_highturn_recent3,187,102
pool,pmarp_up2_accept_highturn_same_day,158,96
pool,pmarp_up2_base,2552,150
pool,pmarp_up2_reject_down98_recent3,2483,150
pool,pmarp_up2_reject_down98_same_day,2507,150
pool,pmarp_up2_reject_highturn_recent3,2365,150
pool,pmarp_up2_reject_highturn_same_day,2394,150
extended,bbwp_down98_after_downtrend,1821,505
extended,bbwp_down98_after_uptrend,1671,495
extended,bbwp_highturn_after_downtrend,4768,505
extended,bbwp_highturn_after_uptrend,4034,496
extended,pmarp_up2_accept_down98_recent3,255,200
extended,pmarp_up2_accept_down98_same_day,136,121
extended,pmarp_up2_accept_highturn_recent3,685,377
extended,pmarp_up2_accept_highturn_same_day,554,344
extended,pmarp_up2_base,8671,520
extended,pmarp_up2_reject_down98_recent3,8416,520
extended,pmarp_up2_reject_down98_same_day,8535,520
extended,pmarp_up2_reject_highturn_recent3,7986,520
extended,pmarp_up2_reject_highturn_same_day,8117,520
