universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,10,492,249,0.01614253879774542,0.012078624853679498,0.5943775100401606,2.894324714966628,0.004138119797269761,0.013241983351263234
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,20,490,247,0.01679755470294413,0.005761948008316464,0.5303643724696356,2.4395614915049233,0.01541249390028935,0.027399989156069955
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,30,486,244,0.04171125073583325,0.012337104263819731,0.5655737704918032,1.8026376905846193,0.0726841153995261,0.10572234967203796
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,60,470,234,0.07037354206308517,0.02886146304143619,0.5683760683760684,3.6729347567064137,0.0002974510569272495,0.002379608455417996
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,10,493,334,0.006170255756333057,-0.0005318864952246205,0.4880239520958084,0.9495471218316401,0.3430310341418694,0.3920354675907079
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,20,489,332,0.004726388689625455,-0.003191349789882253,0.48493975903614456,0.6873935970651954,0.492316086700867,0.5251371591475915
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,30,487,330,0.005184546271999522,0.0032543708379211833,0.5121212121212121,0.5850052859160387,0.5589451533991514,0.5589451533991514
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,60,470,316,0.024396613175431927,-0.014822467644448167,0.4462025316455696,1.496048275149222,0.13564228543427706,0.18085638057903608
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,10,1253,423,0.010175174152046398,0.009066158390608203,0.5721040189125296,2.704709306628629,0.007113069607465219,0.01625844481706336
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,20,1246,416,0.01906802992245479,0.0013224049137805852,0.5096153846153846,3.3175526690001456,0.0009881238668250762,0.004007404474835887
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,30,1240,411,0.03772980151682761,0.00576070873937895,0.5182481751824818,2.783435260016527,0.005627476102661628,0.015006602940431006
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,60,1199,395,0.0728230996533464,0.03848723172912594,0.6177215189873417,4.964048775233253,1.0297267662545397e-06,1.6475628260072635e-05
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,10,1256,557,0.016864950419544562,0.005425076629556713,0.5601436265709157,3.307582845758516,0.0010018511187089717,0.004007404474835887
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,20,1248,553,0.014425374624790311,0.00717103943809394,0.5443037974683544,2.592964869503349,0.009767553269411934,0.019535106538823867
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,30,1244,549,0.008233268232289323,0.006195817919867563,0.5318761384335154,1.1324856179143883,0.25792559491373446,0.3174468860476732
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,60,1200,525,0.04329611238706121,-0.01389052273942415,0.4514285714285714,2.3843493193751324,0.017464188059604577,0.027942700895367323
