universe,sample,signal_label,horizon,n_events,n_effective,mean_return,median_return,positive_rate,t_stat,p_value,p_fdr
pool,Full,pmarp_down98,7,2185,692,0.011588752600207133,0.00737890078564904,0.5664739884393064,4.09185336096258,4.784371150062216e-05,7.176556725093324e-05
pool,Full,pmarp_down98,14,2178,688,0.022929899224432594,0.007100059019249727,0.5523255813953488,3.1675971727853676,0.001605117870463046,0.001605117870463046
pool,Full,pmarp_down98,21,2176,686,0.021689835276684298,0.013712526679100667,0.5539358600583091,4.283613662582961,2.1018568978180114e-05,6.305570693454034e-05
pool,IS,pmarp_down98,7,1128,313,0.009775077807473427,0.007432884824602211,0.5623003194888179,2.5311652525826354,0.011859417128312013,0.03145531934754016
pool,IS,pmarp_down98,14,1128,313,0.01333658764992952,0.0008152173913043015,0.5111821086261981,2.3202851607340365,0.020970212898360104,0.03145531934754016
pool,IS,pmarp_down98,21,1128,313,0.013222426640456014,-7.431464163042465e-05,0.4984025559105431,2.038480012925329,0.042344792525063735,0.042344792525063735
pool,OOS,pmarp_down98,7,1057,379,0.013086589566237873,0.007349804120286574,0.5699208443271768,3.212672173506986,0.0014278800813453873,0.002141820122018081
pool,OOS,pmarp_down98,14,1050,375,0.03093711661861782,0.0139832397392033,0.5866666666666667,2.4993410886206027,0.012870331455155194,0.012870331455155195
pool,OOS,pmarp_down98,21,1048,373,0.028795194266334305,0.027799818422798828,0.6005361930294906,3.816752233453728,0.00015832983497386514,0.0004749895049215954
extended,Full,pmarp_down98,7,8176,1000,0.004665979048623114,0.004681835767961918,0.562,3.627223332197653,0.0003009724490460861,0.0003009724490460861
extended,Full,pmarp_down98,14,8142,995,0.007949822547724906,0.006073675389801701,0.5507537688442211,4.46235689470592,9.032199142092916e-06,1.3548298713139374e-05
extended,Full,pmarp_down98,21,8118,989,0.011533522502314545,0.010514773379535602,0.5722952477249748,5.176190993017473,2.742901845956499e-07,8.228705537869497e-07
extended,IS,pmarp_down98,7,4162,478,0.005152558031988455,0.006476215618777481,0.5648535564853556,2.464480286793586,0.014072673627415417,0.04221802088224625
extended,IS,pmarp_down98,14,4162,478,0.004897532044387495,0.0004080796929918151,0.5062761506276151,1.708983233939804,0.08810451922663019,0.13215677883994528
extended,IS,pmarp_down98,21,4162,478,0.004502143898706189,0.0024872598032385745,0.5125523012552301,1.2729168458442266,0.20366759979432414,0.20366759979432414
extended,OOS,pmarp_down98,7,4014,522,0.004220414385694696,0.004323451898836218,0.5593869731800766,2.7169078638034643,0.006808666626015481,0.006808666626015481
extended,OOS,pmarp_down98,14,3980,517,0.010771862897038798,0.010400323969417924,0.5918762088974855,4.960550141239457,9.558089074776152e-07,1.4337133612164229e-06
extended,OOS,pmarp_down98,21,3956,511,0.01811081990451571,0.01638477818700254,0.6281800391389433,6.615275246413838,9.390625920818528e-11,2.8171877762455584e-10
