cohort,horizon,n_events,n_path_scored,mean,median,p10,p25,p75,p90,top_10pct_contribution,bottom_10pct_contribution,mfe_mean,mae_mean,mfe_to_mae_ratio,right_tail_ratio,universe
pmarp_up2_accept_rvol_recent3,5,718,717,0.004161660346243779,0.00482428541464075,-0.07543034390018197,-0.02952020137811795,0.039629426464314,0.0728681265501573,3.267785183597784,-3.0040020988108256,0.04839256441979117,-0.048445127160447056,0.9989150045889693,0.9660320075775435,pool
pmarp_up2_accept_rvol_recent3,10,718,716,0.015086247290958992,0.01043365463643553,-0.07320346639283037,-0.02895840887049153,0.052986615245854574,0.11119331483313888,1.1713426675291987,-0.8024489474777692,0.07082685871639241,-0.06036700506757321,1.1732710383281515,1.5189624250366,pool
pmarp_up2_accept_rvol_recent3,20,718,715,0.024726303972740782,0.01741199099030699,-0.11130253612758145,-0.04549517615189874,0.08246123295532459,0.1457865149502239,1.1105507985238927,-0.7048733537126572,0.1056657831977409,-0.08174727205556466,1.2925909396208173,1.3098220402014462,pool
pmarp_up2_accept_rvol_recent3,40,718,693,0.05297635290569767,0.029544521953221103,-0.14511824335541718,-0.0708460754332314,0.13179992698065002,0.24536419736703313,0.9566881938543255,-0.45113098887618297,0.17037193860991104,-0.11409944931839384,1.4931880883534252,1.6907880890350775,pool
pmarp_up2_accept_rvol_recent3,60,718,660,0.07783468547974287,0.036013066995829957,-0.17125664477969232,-0.0715352306219971,0.153342268398033,0.3290313156249499,0.9187608618946118,-0.3359849694135225,0.22058417458701904,-0.1322676273475897,1.6677109812164383,1.9212761995204437,pool
pmarp_up2_base,5,2870,2865,0.005640432393536811,0.006448357070763633,-0.07387998591992881,-0.030660377358490587,0.04012609181059945,0.08213501055378536,2.5219117660533787,-2.224859716778556,0.05055202317460885,-0.048314843460206654,1.046304190476055,1.1117356010706791,pool
pmarp_up2_base,10,2870,2863,0.01722159385163955,0.011927454931648596,-0.0863697959792747,-0.032687673531849315,0.058942628042404355,0.12245886410031047,1.224983877709042,-0.8408575432589273,0.07665290486773281,-0.06255008906546387,1.2254643600508572,1.417843618962533,pool
pmarp_up2_base,20,2870,2810,0.02736287342001697,0.01531272356184521,-0.11116193906208693,-0.04883444450028676,0.08221142512899776,0.15588946153070263,1.1459634806327774,-0.6611397106475803,0.11261017515259306,-0.0855274872957769,1.316654782142225,1.402363640343069,pool
pmarp_up2_base,40,2870,2692,0.062483561611609284,0.03192070222070342,-0.14418207803700958,-0.06360320884605655,0.13985777596325488,0.27977671462826736,0.8816208215486743,-0.3867288347073131,0.17769065202827986,-0.11679137661496572,1.5214364037687904,1.940440299081086,pool
pmarp_up2_base,60,2870,2584,0.08812650655971958,0.04418284642679182,-0.1724981198838416,-0.06990457617357745,0.17791130585602738,0.36878614978063196,0.8132156721248273,-0.31135915725322266,0.23322901636240848,-0.13359767678282916,1.74575652794873,2.1379140249700614,pool
pmarp_up2_reject_rvol_recent3,5,2152,2148,0.006134044850663954,0.007155585772250839,-0.07340259931794207,-0.03134956137298736,0.04023994028982064,0.08409009140681457,2.3477182687734266,-2.0481688454836675,0.0512728480941639,-0.04827135490663479,1.0621795927074043,1.1456010030731993,pool
pmarp_up2_reject_rvol_recent3,10,2152,2147,0.017933707562607076,0.012296992693315856,-0.09105362141759404,-0.034046969225957124,0.061646204573015395,0.12984506864844444,1.2361967535900587,-0.8473529290283526,0.07859582477661019,-0.06327812266699612,1.242069477791308,1.4260286041006913,pool
pmarp_up2_reject_rvol_recent3,20,2152,2095,0.028262704997488317,0.014551083591331393,-0.11080183202570548,-0.04902956757735466,0.08220487702663781,0.1602570329136626,1.1582179588135466,-0.6499550838159868,0.11498021823026336,-0.08681763235389228,1.3243878589267757,1.4463391984031795,pool
pmarp_up2_reject_rvol_recent3,40,2152,1999,0.06577945737608991,0.032531437944231856,-0.14399522712884358,-0.06075036026951158,0.14153788978185255,0.2907440710816733,0.8581000286905449,-0.36874193041158054,0.1802278548291451,-0.11772459603293688,1.5309277831687877,2.0191229728852216,pool
pmarp_up2_reject_rvol_recent3,60,2152,1924,0.09165696493434779,0.04886894436514,-0.1724981198838416,-0.06886641569053314,0.18653867041441974,0.3834021013447736,0.7805301266183405,-0.3041855576471569,0.2375666439984568,-0.1340539307471005,1.7721721599244877,2.2226451024680878,pool
rvol_up2_pmarp_gte60,5,2446,2430,0.009988335788054735,0.0031313990609540543,-0.07579196606128254,-0.02937729755705118,0.03877075010873787,0.09076920544685835,1.9705634943304813,-1.3141225443870246,0.06034733483077014,-0.04429679210929802,1.3623409722733189,1.1976098544991665,pool
rvol_up2_pmarp_gte60,10,2446,2419,0.020278191094539308,0.009616756556230843,-0.09373575242753807,-0.034605447070121864,0.05675362657497762,0.13622411446985022,1.332568890201852,-0.7822081681800703,0.08584977350542777,-0.05862030687041807,1.4645056992826948,1.4532780816493425,pool
