universe,bucket,raw_events,symbols
pool,rvol_up2_all,5870,152
pool,rvol_up2_base_proxy,295,120
pool,rvol_up2_churn_proxy,1833,150
pool,rvol_up2_panic_proxy,1793,150
pool,rvol_up2_pmarp_30_60,914,148
pool,rvol_up2_pmarp_gte60,2446,150
pool,rvol_up2_pmarp_lt30,2510,151
pool,rvol_up2_sign_flat,1083,142
pool,rvol_up2_sign_neg,2351,151
pool,rvol_up2_sign_pos,2436,150
extended,rvol_up2_all,21977,523
extended,rvol_up2_base_proxy,1541,456
extended,rvol_up2_churn_proxy,5470,521
extended,rvol_up2_panic_proxy,6484,520
extended,rvol_up2_pmarp_30_60,3813,517
extended,rvol_up2_pmarp_gte60,8410,521
extended,rvol_up2_pmarp_lt30,9754,521
extended,rvol_up2_sign_flat,5876,512
extended,rvol_up2_sign_neg,8538,521
extended,rvol_up2_sign_pos,7563,521
