ma_window,threshold,event_type,horizon,event_n_min,event_n_max,avg_mean_lift_pp,min_mean_lift_pp,max_mean_lift_pp,avg_hit_lift_pp,min_perm_p,max_perm_p,positive_mean_targets_count,positive_mean_targets,positive_hit_targets_count,positive_hit_targets,perm_sig_targets_count,perm_sig_targets,bootstrap_positive_targets_count,bootstrap_positive_targets,all_targets_positive_mean,all_targets_positive_hit,validity_score
50,0.25,low_recovery,5,14,14,1.3226976385880969,1.1094651639322273,1.5247361862402213,18.737937274748866,0.020169851380042462,0.07317073170731707,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",2,"SPY,QQQ",2,"SPY,QQQ",True,True,14
20,0.3,low_recovery,60,15,16,2.8545085059830257,1.5536217620623776,4.962236522514871,6.402461043110537,0.003937007874015748,0.024975024975024976,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",0,,True,True,12
50,0.25,low_recovery,20,14,14,2.711615964563539,1.9655309103711085,3.9428884433200238,6.382923329262283,0.012565445026178011,0.01778242677824268,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",0,,True,True,12
50,0.2,low_recovery,60,5,5,7.669303509325981,5.383712324123329,10.578479419516986,5.72323025811398,0.01898101898101898,0.030969030969030968,3,"SPY,QQQ,SOXX",2,"SPY,SOXX",3,"SPY,QQQ,SOXX",0,,True,False,11
20,0.3,low_recovery,20,27,28,1.3363724643344117,1.0431426791610505,1.7097590753497534,8.010361669608901,0.029914529914529916,0.09868421052631579,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",1,SPY,0,,True,True,8
50,0.2,low_recovery,20,7,7,2.1976788047797533,2.056192923999473,2.3915864116962853,-0.8363163825546103,0.04895104895104895,0.1918081918081918,3,"SPY,QQQ,SOXX",1,SPY,1,SPY,0,,True,False,6
20,0.75,high_strength,5,22,23,0.45360619340637637,0.12026602627798053,0.6840772666884535,2.389696931962582,0.08102345415778252,0.43576017130620986,3,"SPY,QQQ,SOXX",1,SPY,0,,1,SPY,True,False,6
20,0.25,low_recovery,20,21,22,0.9877247274589775,0.8258405867847863,1.3000719583253453,4.574482535866001,0.11611611611611612,0.23576423576423577,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",0,,0,,True,True,6
50,0.8,high_strength,5,5,6,0.776210950550095,0.697484130286454,0.8588196306746784,12.397539308246037,0.21178821178821178,0.3206793206793207,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",0,,0,,True,True,6
20,0.3,low_recovery,10,27,28,0.6286680509033247,0.34260015541534894,1.190572076974242,9.343033921061009,0.11724137931034483,0.210989010989011,3,"SPY,QQQ,SOXX",3,"SPY,QQQ,SOXX",0,,0,,True,True,6
20,0.25,low_recovery,60,12,13,1.6368312209157656,1.276414624207584,1.8881517161658943,0.25495545542687514,0.05673758865248227,0.16116116116116116,3,"SPY,QQQ,SOXX",2,"QQQ,SOXX",0,,0,,True,False,5
20,0.2,low_recovery,60,11,12,1.1889627704717451,0.7243052031558783,1.6561473064326302,-2.490836743677246,0.09929078014184398,0.1508097165991903,3,"SPY,QQQ,SOXX",1,SOXX,0,,0,,True,False,4
50,0.2,low_recovery,10,7,7,0.7412995824275915,0.20668801000675135,1.1212719325088831,2.704733825358833,0.18681318681318682,0.3906093906093906,3,"SPY,QQQ,SOXX",1,SOXX,0,,0,,True,False,4
50,0.3,low_recovery,20,17,17,0.5867672649292847,0.273291789558306,1.0243133601433998,-1.9791755085872722,0.15702479338842976,0.1984126984126984,3,"SPY,QQQ,SOXX",1,QQQ,0,,0,,True,False,4
50,0.3,low_recovery,60,11,11,0.3857464178277879,-0.6092270400819839,1.6246814447468763,-0.9761366984189316,0.2012012012012012,0.4955044955044955,2,"SPY,SOXX",2,"SPY,SOXX",0,,0,,False,False,4
20,0.7,high_strength,10,28,29,-0.046030131899860806,-0.3652261630211618,0.16148681256235733,-1.5038437250634509,0.4580498866213152,0.6933638443935927,2,"SPY,QQQ",2,"SPY,SOXX",0,,0,,False,False,4
20,0.75,high_strength,10,22,23,-0.16609516338074518,-0.7129086573161615,0.11466216051279829,4.9842160904798725,0.41569459172852596,0.6988210075026795,2,"SPY,QQQ",2,"SPY,QQQ",0,,0,,False,False,4
20,0.75,high_strength,20,21,22,-0.309902735105499,-1.290938882711399,0.18683950836127194,1.3452345525196587,0.4053763440860215,0.7719112988384371,2,"SPY,QQQ",2,"SPY,QQQ",0,,0,,False,False,4
20,0.3,low_recovery,5,27,28,-0.06243562321813073,-0.19428377127492083,0.05397741914347255,2.4177269002497095,0.37362637362637363,0.5456475583864119,1,SOXX,3,"SPY,QQQ,SOXX",0,,0,,False,True,4
50,0.25,low_recovery,60,9,9,1.4823227528047365,0.5437403697133171,2.3477928534798185,-12.169090231170765,0.11688311688311688,0.34165834165834164,3,"SPY,QQQ,SOXX",0,,0,,0,,True,False,3
20,0.7,high_strength,5,28,29,0.23622554304450347,-0.0386903882265548,0.38675713752596474,1.3624702306826997,0.1912751677852349,0.542825361512792,2,"SPY,QQQ",1,SPY,0,,0,,False,False,3
