ma_window,threshold,event_type,primary_cell,event_n_short,event_n_long,first_valid_date,last_date,effective_years,events_per_year,event_hit,baseline_hit,hit_lift_pp,perm_p,perm_sampling_method,perm_success_rate,strategy_cagr_pp,bnh_cagr_pp,excess_cagr_pp,excess_cagr_ci_low,excess_cagr_ci_high,excess_cagr_share_negative,n_trades,exposure_pct,target_same_sign_count,target_same_sign_targets,short_horizon_same_sign_count,short_horizon_same_sign_horizons,long_horizon_diff,h1_freq_pass,h2_hit_pass,h3_target_pass,h4_short_horizon_pass,h5_perm_pass,h6_strategy_pass,passes_count_param
20,0.05,low_recovery,SPY_10d,8,7,2022-03-03,2026-04-28,4.1349,1.9347,37.5,62.24390243902439,-24.74390243902439,0.8351648351648352,rejection,1.0,-2.0490886582321344,12.599133642961814,-14.648222301193949,-15.60095723210986,-11.986810723545377,1.0,8,7.677543186180421,0,,1,20,0.016013190669321803,True,False,False,False,False,False,1
20,0.1,low_recovery,SPY_10d,9,7,2022-03-03,2026-04-28,4.1349,2.1766,44.44444444444444,62.20703125,-17.762586805555557,0.6543456543456544,rejection,1.0,-0.8228690392394489,12.599133642961814,-13.422002682201263,-16.97597285920575,-8.834847967669695,1.0,9,8.637236084452974,0,,1,20,0.0006399697372203861,True,False,False,False,False,False,1
20,0.15,low_recovery,SPY_10d,11,8,2022-03-03,2026-04-28,4.1349,2.6603,72.72727272727273,61.93737769080235,10.789895036470384,0.16083916083916083,rejection,1.0,2.799618857557573,12.599133642961814,-9.799514785404241,-13.939754341257864,-6.930938631347948,1.0,11,10.556621880998081,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",0.02244834956055252,True,False,True,True,False,False,3
20,0.8,high_strength,SPY_10d,19,12,2022-03-03,2026-04-28,4.1349,4.595,63.1578947368421,62.031558185404336,1.1263365514377668,0.4292878635907723,rejection,0.996,1.7411615212107323,12.599133642961814,-10.857972121751082,-14.512950814926475,-8.095001009100974,1.0,19,18.234165067178505,4,"SPY,QQQ,SOXX,XLK",2,"5,10",-0.020961654769347398,False,False,True,True,False,False,2
20,0.9,high_strength,SPY_10d,11,7,2022-03-03,2026-04-28,4.1349,2.6603,63.63636363636363,62.03522504892368,1.601138587439955,0.5924075924075924,rejection,1.0,-0.29044935372928293,12.599133642961814,-12.889582996691097,-15.540487774847188,-8.923211553146079,1.0,11,10.556621880998081,1,IWM,0,,-0.009199081999338152,True,False,False,False,False,False,1
20,0.95,high_strength,SPY_10d,6,4,2022-03-03,2026-04-28,4.1349,1.4511,60.0,62.06225680933852,-2.062256809338521,0.7222777222777222,rejection,1.0,-1.0714276244272902,12.599133642961814,-13.670561267389104,-15.885611314204985,-10.172232881397349,1.0,5,4.798464491362764,0,,0,,0.03260567962731743,False,False,False,False,False,False,0
50,0.05,low_recovery,SPY_10d,6,5,2022-04-14,2026-04-28,4.0159,1.4941,16.666666666666664,62.68806419257773,-46.02139752591106,0.8911088911088911,rejection,1.0,-2.8343599812570286,12.861997968849792,-15.69635795010682,-16.44646100565653,-12.946267954730084,1.0,6,5.928853754940711,0,,1,20,-0.012728756009073396,False,False,False,False,False,False,0
50,0.1,low_recovery,SPY_10d,8,6,2022-04-14,2026-04-28,4.0159,1.9921,25.0,62.71356783919598,-37.71356783919598,0.7992007992007992,rejection,1.0,-2.334554473543027,12.861997968849792,-15.196552442392818,-18.15872346845644,-11.134605789435659,1.0,8,7.905138339920949,0,,1,5,-0.006572358973218884,True,False,False,False,False,False,1
50,0.15,low_recovery,SPY_10d,8,7,2022-04-14,2026-04-28,4.0159,1.9921,75.0,62.311557788944725,12.688442211055275,0.07592407592407592,rejection,1.0,3.200221518692148,12.861997968849792,-9.661776450157644,-13.617965867599736,-7.433261607441777,1.0,8,7.905138339920949,5,"SPY,QQQ,SOXX,IWM,XLK",3,"5,10,20",0.01796962468639627,True,False,True,True,False,False,3
50,0.8,high_strength,SPY_10d,12,8,2022-04-14,2026-04-28,4.0159,2.9881,83.33333333333334,62.15943491422805,21.173898419105292,0.13186813186813187,rejection,1.0,3.8969488683352704,12.861997968849792,-8.965049100514522,-11.801155078228053,-8.921890238791573,1.0,12,11.857707509881422,5,"SPY,QQQ,SOXX,IWM,XLK",2,"10,20",-0.0128510484790271,True,True,True,True,False,False,4
50,0.9,high_strength,SPY_10d,8,6,2022-04-14,2026-04-28,4.0159,1.9921,87.5,62.21105527638191,25.288944723618087,0.0989010989010989,rejection,1.0,3.3327641819121734,12.861997968849792,-9.529233786937619,-11.918241766586846,-9.564399953182146,1.0,8,7.905138339920949,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",-0.011305626954279446,True,True,True,True,False,False,4
50,0.95,high_strength,SPY_10d,5,5,2022-04-14,2026-04-28,4.0159,1.2451,80.0,62.32464929859719,17.675350701402813,0.0979020979020979,rejection,1.0,2.6085092061468362,12.861997968849792,-10.253488762702956,-12.392911099097038,-10.020768375620781,1.0,5,4.940711462450593,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",-0.009743049553063335,False,True,True,True,False,False,3
