ma_window,threshold,event_type,primary_cell,event_n_short,event_n_long,first_valid_date,last_date,effective_years,events_per_year,event_hit,baseline_hit,hit_lift_pp,perm_p,perm_sampling_method,perm_success_rate,strategy_cagr_pp,bnh_cagr_pp,excess_cagr_pp,excess_cagr_ci_low,excess_cagr_ci_high,excess_cagr_share_negative,n_trades,exposure_pct,target_same_sign_count,target_same_sign_targets,short_horizon_same_sign_count,short_horizon_same_sign_horizons,long_horizon_diff,h1_freq_pass,h2_hit_pass,h3_target_pass,h4_short_horizon_pass,h5_perm_pass,h6_strategy_pass,passes_count_param
20,0.05,low_recovery,QQQ_10d,8,7,2022-03-03,2026-04-28,4.1349,1.9347,37.5,60.78048780487805,-23.28048780487805,0.8721278721278721,rejection,1.0,-3.0011915721462334,17.106215068885454,-20.107406641031687,-21.225763648970087,-16.581448628858617,1.0,8,7.677543186180421,0,,1,20,0.004550430778087464,True,False,False,False,False,False,1
20,0.1,low_recovery,QQQ_10d,9,7,2022-03-03,2026-04-28,4.1349,2.1766,44.44444444444444,60.7421875,-16.297743055555557,0.5924075924075924,rejection,1.0,-0.790013247539012,17.106215068885454,-17.896228316424466,-22.598996929520553,-12.295767386387432,1.0,9,8.637236084452974,0,,1,20,-0.004781728089209805,True,False,False,False,False,False,1
20,0.15,low_recovery,QQQ_10d,11,8,2022-03-03,2026-04-28,4.1349,2.6603,63.63636363636363,60.567514677103716,3.068848959259917,0.14085914085914086,rejection,1.0,4.259195243251579,17.106215068885454,-12.847019825633875,-18.13207540771776,-10.117654929116421,1.0,11,10.556621880998081,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",0.03918984312227585,True,False,True,True,False,False,3
20,0.8,high_strength,QQQ_10d,19,12,2022-03-03,2026-04-28,4.1349,4.595,63.1578947368421,60.552268244575934,2.6056264922661683,0.2748244734202608,rejection,0.996,4.211191318235197,17.106215068885454,-12.895023750650257,-18.98814567611509,-10.16826191022413,1.0,19,18.234165067178505,4,"SPY,QQQ,SOXX,XLK",2,"5,10",-0.03602406617745798,False,False,True,True,False,False,2
20,0.9,high_strength,QQQ_10d,11,7,2022-03-03,2026-04-28,4.1349,2.6603,63.63636363636363,60.567514677103716,3.068848959259917,0.5614385614385614,rejection,1.0,0.05094180442217766,17.106215068885454,-17.055273264463278,-21.038636421314138,-12.241459999575406,1.0,11,10.556621880998081,1,IWM,0,,-0.023518225908566122,True,False,False,False,False,False,1
20,0.95,high_strength,QQQ_10d,6,4,2022-03-03,2026-04-28,4.1349,1.4511,40.0,60.70038910505836,-20.700389105058363,0.6923076923076923,rejection,1.0,-1.0198080569022272,17.106215068885454,-18.126023125787682,-20.989775356030016,-14.28682402215302,1.0,5,4.798464491362764,0,,1,20,0.04044027196214989,False,False,False,False,False,False,0
50,0.05,low_recovery,QQQ_10d,6,5,2022-04-14,2026-04-28,4.0159,1.4941,16.666666666666664,61.28385155466399,-44.617184887997325,0.9140859140859141,rejection,1.0,-4.1046297802874605,17.985854055263495,-22.090483835550955,-23.10338360131383,-18.231878995195004,1.0,6,5.928853754940711,0,,1,20,-0.03381663733628828,False,False,False,False,False,False,0
50,0.1,low_recovery,QQQ_10d,8,6,2022-04-14,2026-04-28,4.0159,1.9921,37.5,61.20603015075376,-23.70603015075376,0.7642357642357642,rejection,1.0,-2.5674441132266135,17.985854055263495,-20.55329816849011,-24.37585382464491,-15.725289197066497,1.0,8,7.905138339920949,0,,1,5,-0.025433281246381837,True,False,False,False,False,False,1
50,0.15,low_recovery,QQQ_10d,8,7,2022-04-14,2026-04-28,4.0159,1.9921,75.0,60.904522613065325,14.095477386934675,0.04795204795204795,rejection,1.0,4.582999653144415,17.985854055263495,-13.402854402119079,-18.89544855085447,-10.671628764862474,1.0,8,7.905138339920949,5,"SPY,QQQ,SOXX,IWM,XLK",3,"5,10,20",0.012645446122615138,True,False,True,True,True,False,4
50,0.8,high_strength,QQQ_10d,12,8,2022-04-14,2026-04-28,4.0159,2.9881,83.33333333333334,60.74672048435923,22.586612848974113,0.12687312687312688,rejection,1.0,5.388631513015163,17.985854055263495,-12.597222542248332,-17.04844892788351,-12.372019130572012,1.0,12,11.857707509881422,5,"SPY,QQQ,SOXX,IWM,XLK",2,"10,20",-0.01929475086425507,True,True,True,True,False,False,4
50,0.9,high_strength,QQQ_10d,8,6,2022-04-14,2026-04-28,4.0159,1.9921,87.5,60.80402010050251,26.695979899497488,0.14085914085914086,rejection,1.0,4.015197262359349,17.985854055263495,-13.970656792904146,-16.934934838842874,-13.83253131596376,1.0,8,7.905138339920949,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",-0.018086026014759293,True,True,True,True,False,False,4
50,0.95,high_strength,QQQ_10d,5,5,2022-04-14,2026-04-28,4.0159,1.2451,80.0,60.92184368737475,19.078156312625246,0.12787212787212787,rejection,1.0,3.066792078294811,17.985854055263495,-14.919061976968685,-17.222654614987533,-14.747452665013183,1.0,5,4.940711462450593,5,"SPY,QQQ,SOXX,IWM,XLK",2,"5,10",-0.023184335257659026,False,True,True,True,False,False,3
