review_reason,symbol,company_name,fmp_sector,fmp_industry,market_cap_b,mcap_tier,description,l1,l2,l3_themes,business_role,prefill_source,confidence,needs_review,boss_notes
hard_needs_review,U,Unity Software Inc.,Technology,Software - Application,,,"Unity Software Inc. creates and operates an interactive real-time 3D content platform. Its platform provides software solutions to create, run, and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. The company serves content creators and developers, artists, designers, engineers, and architects to create interactive and real-time 2D and 3D content. It offers its solutions directly through its online store, fiel",互联网与软件,游戏与互动娱乐,,实时3D内容创作与运行引擎,manual,1.0,0,⚠ LLM retry x2 failed → Boss 定: 互联网与软件/游戏与互动娱乐
hard_needs_review,ULS,UL Solutions Inc.,Industrials,Specialty Business Services,,,"UL Solutions Inc. provides safety science services worldwide. It operates through three segments: Industrial, Consumer, and Software and Advisory. The Industrial segment provides testing, inspection, and certification services across various end markets, including energy, industrial automation, engineered materials, and built environment, as well as stakeholders, such as manufacturers, building owners, end users, and regulators. The Consumer segment offers safety certification testing, ongoing c",工业与航天,工业自动化与机械,,安全检测/认证(TIC)服务,manual,1.0,0,⚠ LLM retry x2 failed → Boss 定: 工业与航天/工业自动化与机械
hard_needs_review,WSE,Wise Group plc Class A Ordinary Shares,,,,,,金融,支付与金融科技,,跨境支付fintech,manual,1.0,0,⚠ LLM retry x2 failed + profile 全空 → Boss 定: 金融/支付与金融科技
hard_needs_review,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,,,"Williams-Sonoma, Inc. operates as an omni-channel specialty retailer of various products for home. It offers cooking, dining, and entertaining products, such as cookware, tools, electrics, cutlery, tabletop and bar, outdoor, furniture, and a library of cookbooks under the Williams Sonoma Home brand, as well as home furnishings and decorative accessories under the Williams Sonoma lifestyle brand; and furniture, bedding, lighting, rugs, table essentials, and decorative accessories under the Potter",消费与零售,可选消费品牌,,家居品牌全渠道零售,manual,1.0,0,⚠ LLM retry x2 failed → Boss 定: 消费与零售/可选消费品牌
soft_low_confidence,BIPI,BIP Bermuda Holdings I Limited,Industrials,Specialty Business Services,,,"BIP Bermuda Holdings I Ltd. provides management consulting services. The company is headquartered in Hamilton, Bermuda.",工业与航天,工业自动化与机械,,百慕大注册的管理咨询服务公司，为企业提供管理咨询。,llm,0.45,0,⚠ BIP Bermuda Holdings 是百慕大控股管理咨询，非工业自动化。建议复核
soft_low_confidence,OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,,,"Omnicom Group Inc., together with its subsidiaries, provides advertising, marketing, and corporate communications services. It provides a range of services in the areas of advertising, customer relationship management, public relations, and healthcare. The company's services include advertising, branding, content marketing, corporate social responsibility consulting, crisis communications, custom publishing, data analytics, database management, digital/direct marketing, digital transformation, e",互联网与软件,消费互联网平台,AI应用层,全球领先的广告与营销传播集团，提供整合营销、数字化转型与公关服务。,llm,0.55,0,⚠ Omnicom 是传统广告集团，L2='消费互联网平台'不准；taxonomy 无广告专用 L2
soft_low_confidence,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,,,"Packaging Corporation of America manufactures and sells containerboard and corrugated packaging products in the United States. The company operates through Packaging and Paper segments. The Packaging segment offers various containerboard and corrugated packaging products, such as conventional shipping containers used to protect and transport manufactured goods; multi-color boxes and displays that help to merchandise the packaged product in retail locations; and honeycomb protective packaging pro",能源与材料,化工与气体,,美国最大的瓦楞纸箱与集装箱板制造商之一，为工业和消费品客户提供包装解决方案。,llm,0.55,0,⚠ Packaging Corp = 瓦楞纸箱制造商，L1='能源与材料'L2='化工与气体'错配；建议 realestate_utility/industrial_materials
soft_low_confidence,BWA,BorgWarner Inc.,Consumer Cyclical,Auto - Parts,,,"BorgWarner Inc. provides solutions for combustion, hybrid, and electric vehicles worldwide. The company operates through four segments: Air Management, E-Propulsion & Drivetrain, Fuel Injection, and Aftermarket. The Air Management segment offers turbochargers, eBoosters, eTurbos, timing systems, emissions systems, thermal systems, gasoline ignition technology, smart remote actuators, powertrain sensors, canisters, cabin heaters, battery modules and systems, battery packs, battery heaters, and ba",工业与航天,工业自动化与机械,能源转型,全球汽车动力总成与电气化零部件供应商，覆盖燃油、混动与纯电平台的涡轮增压、电驱动、电池系统等核心部件。,manual,1.0,0,"✓ Boss 定: 工业与航天/工业自动化与机械 (Tier-1 汽车动力总成零部件, 非整车)"
soft_low_confidence,NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,,,"NVR, Inc. operates as a homebuilder in the United States. The company operates in two segments, Homebuilding and Mortgage Banking. It engages in the construction and sale of single-family detached homes, townhomes, and condominium buildings under the Ryan Homes, NVHomes, and Heartland Homes names. The company markets its Ryan Homes products to first-time and first-time move-up buyers; and NVHomes and Heartland Homes products to move-up and luxury buyers. It also provides various mortgage related",地产与公用,住宅与商业REIT,房地产周期;利率敏感,美国大型住宅建筑商，主营独栋及联排住宅建造销售，并提供按揭金融服务,llm,0.60,0,⚠ NVR = 独栋住宅建商 (非 REIT)；taxonomy 无 homebuilder L2，建议 realestate_utility/industrial_materials
soft_low_confidence,SNX,TD SYNNEX Corporation,Technology,Technology Distributors,,,"TD SYNNEX Corporation provides business process services in the United States and internationally. The company distributes PC systems, mobile phones and accessories, printers, peripherals, supplies, endpoint technology software, consumer electronics, information technology (IT) systems including data center server and storage solutions, system components, software, networking, communications and security equipment, consumer electronics, and complementary products. It also provides systems design",互联网与软件,企业SaaS,AI算力;半导体周期,全球领先的IT分销与解决方案聚合商，向渠道伙伴分销服务器/存储/网络/PC等硬件及企业软件，受益于AI基础设施资本开支与渠道补库存周期,llm,0.62,0,⚠ TD SYNNEX = IT 分销 (非 SaaS)；建议改 consumer_retail 或新增 distributor L2
